ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffness,stiffnessROC,damping,dampingROC,NVP
128,3,low,0.02,2.4812812057302076E-2,-0.29133059815925855,-157.49605425274407,H,8000,2.174505443772387,4.2721837908479275e-5,-6.096418369999815,-7.135256014088043e-7,1.6496047502618327
129,3,low,10.005555555555555,2.2995208930251101E-2,-0.29134838615455322,-189.5761103698693,H,8000,2.2981645669834325,-2.234808377259867e-6,0.6561704500846468,-4.418924512523681e-7,1.6118451550536719
141,3,low,0.5,2.4089210191575599E-2,-0.69291668465565726,-174.21675831782167,H,4000,-2.1962732786111117,1.4054262307624743e-5,-2.917301664077469,-1.8558769702683443e-6,1.500163819381449
143,3,low,2,2.4569540548064036E-2,-0.29133401605071235,-186.7649021493599,H,4000,2.493081831177995,-7.867565585482961e-6,-5.982773535882953,-1.380193643582217e-6,1.6106270795755848
145,3,low,15,2.2767054073013646E-2,-0.29144721583737276,-209.55184734073819,H,4000,2.240485698822024,-1.0192775897786887e-5,0.8720246655152979,-7.517365785070229e-7,1.5485044840524151
168,3,low,15.007142857142856,3.7859706656321261E-2,-0.2913529057324557,-240.18896722005104,H,4000,2.9109008603513873,-2.625602718249054e-5,0.24780724860203085,-1.1568116644800064e-6,1.6143607235983746
103,3,high,0.5,2.4476333130798222E-2,-0.52755930951866969,-22.593622784915166,H,8000,0.30508776503814605,-6.724865520114642e-7,-6.067963100265333,3.026446660960858e-7,1.6556475753993438
108,3,high,10,2.3065943486435064E-2,-0.52756024422647796,-23.485219208487827,H,6000,0.4195149940547753,-1.2884445303746327e-6,0.2959901881743461,-2.2497302774571182e-7,1.7033310495901177
112,3,high,5,2.3964377933336459E-2,-0.52756223987618711,-19.879039773524777,H,8000,0.28471008410414106,-5.684869161842743e-7,0.3014773280211953,-2.1942328252455568e-7,1.6848569191341807
142,3,high,0.5,2.4530083303194415E-2,-0.45669294622286438,-20.607753654852853,H,4000,-0.2804436977513769,1.4411214108092652e-6,-2.8617372054886343,-1.2823137861035504e-6,1.7276883704087
148,3,high,15.001694915254237,2.2486050356579117E-2,-0.52755758950407772,-21.174834671245321,H,4000,0.36889735719875705,-1.2292393798307155e-6,0.31379444796932354,-3.0271319171104596e-7,1.5610468678350293
166,3,high,9.9928571428571438,7.8057613088793984E-2,-0.52756141519875499,-25.208576638625807,H,4000,0.2562337196323493,-4.076989161714672e-6,0.40658071121109396,9.528005980978804e-7,2.070110552701844
