ID,chemIndex,porosity,freq,amp,initialStrain,initialStress,intervalCode,cycle,stiffnessFrac,dampingFrac,stiffness,damping,stiffnessROC,dampingROC,NVP
142,3,high,0.5,2.4530083303194415E-2,-0.45669294622286438,-20.607753654852853,A,0,1,1,0.30299536726722537,3.4394565479319095,NA,NA,1.6528832687701753
148,3,high,15.001694915254237,2.2486050356579117E-2,-0.52755758950407772,-21.174834671245321,A,0,1,1,0.39845155971325696,0.3120694211156574,NA,NA,1.5964931365343675
166,3,high,9.9928571428571438,7.8057613088793984E-2,-0.52756141519875499,-25.208576638625807,A,0,1,1,0.32556518237589605,0.3775177681085873,NA,NA,1.9320365692236154
106,1,low,0.5,2.4128849143440812E-2,-0.2913375226002326,-62.799569925656819,B,2000,1.0143144667678914,0.9320442226658474,0.5263960255296627,-6.032701835521466,3.7143699814343176e-6,-0.003150306977938201,1.5181633132022285
115,1,low,0.5,2.461566240160673E-2,-0.2913358267120093,-59.240175726957808,B,2000,1.0402993006961818,0.9077411261198692,0.4466398747656777,-6.0396808924922,8.65100774557942e-6,-0.003153411590629669,1.5989880252417128
116,1,low,10,2.3821421721616297E-2,-0.29134057453917039,-62.451156282278447,B,2000,0.9861336990938953,1.0247633112595869,0.557155495516879,0.7382178758637319,-3.917159386919666e-6,6.080601517635454e-6,1.5800034145435762
117,1,low,5,2.5272102221972091E-2,-0.29134028378272486,-62.471672978966268,B,2000,0.9831323232466498,0.950969303188364,0.6081562032507533,0.4960613946586192,-5.217091336241653e-6,-1.0664877397830896e-5,1.6353510848082657
119,1,low,2,2.5382086905547281E-2,-0.29133856940915154,-61.845186771667528,B,2000,1.0014241973638744,0.9359163792650255,0.5568770012589448,-5.91651392674493,3.9598741436597253e-07,-0.0031529487139091913,1.5771547861829285
137,1,low,14.995652173913042,2.2337381035514036E-2,-0.29133121992185868,-58.836185088457398,B,250,0.9813394910668717,1.004543133494255,0.4479921226254433,0.9329177693687467,-3.407489898173699e-5,8.679659146186403e-6,1.5150102362711024
139,1,low,0.5,2.4281769732657284E-2,-0.69291295559246502,-56.673020726236999,B,250,0.9986774385555626,0.9654436016040067,0.42271418863989335,-2.8868392426254745,-2.239223462263684e-6,-3.483604869107459e-5,1.5698824460646073
